stop_id,stop_lat,stop_lon
A--11219,4.622794783,-74.16686252
A--11220,4.625617449,-74.16910336
A--11223,4.63391695,-74.1821417
A--11224,4.63163045,-74.18783637
A--11225,4.63025645,-74.19145953
A--11226,4.629109116,-74.1957892
A--11227,4.629007616,-74.1959652
A--11228,4.629512783,-74.19304237
A--11229,4.631586616,-74.1877127
A--11230,4.63354795,-74.1828677
A--11231,4.634785616,-74.17913286
A--11232,4.63559945,-74.17620069
A--11233,4.629501596,-74.17772063
A--11234,4.630966783,-74.18032269
A--11236,4.631104485,-74.14650783
A--11237,4.631066154,-74.14618919
A--11238,4.631052715,-74.14598941
A--11239,4.631029534,-74.14579127
A--11240,4.628110449,-74.14519784
A--11241,4.624703048,-74.14591503
A--11242,4.621750283,-74.14389801
A--11243,4.619386949,-74.14256051
A--11244,4.618872283,-74.14548584
A--11245,4.618439616,-74.14939218
A--11246,4.620970283,-74.14748118
A--11247,4.624975783,-74.14714851
A--11248,4.626129616,-74.14715968
A--11249,4.623583949,-74.14951385
A--11250,4.621638783,-74.15126335
A--11251,4.618162449,-74.15302985
A--11252,4.614345282,-74.15302985
A--11253,4.614537949,-74.15669568
A--11254,4.614839116,-74.15920468
A--11255,4.619313116,-74.15638635
A--11256,4.622389283,-74.15474052
A--11257,4.623581616,-74.15286868
A--11258,4.622260116,-74.15140168
A--11259,4.624120116,-74.14886768
A--11260,4.626229616,-74.14691984
A--11262,4.629002449,-74.15689702
A--11263,4.626372616,-74.15931868
A--11264,4.623021949,-74.16254885
A--11265,4.620158116,-74.16210619
A--11266,4.620816949,-74.15983202
A--11267,4.622765449,-74.15804418
A--11268,4.625682116,-74.15755785
A--11269,4.628103616,-74.15751418
A--11270,4.630554283,-74.15528568
A--11272,4.613348782,-74.15053601
A--11273,4.610729375,-74.14876955
A--11274,4.606079949,-74.14550001
A--11280,4.610509616,-74.14840134
A--11281,4.613577282,-74.15047701
A--11282,4.629695333,-74.17377005
A--11283,4.629345697,-74.1729246
A--11284,4.629436237,-74.17272719
A--11285,4.629515447,-74.17255491
A--11286,4.629603379,-74.17237452
A--11287,4.629689064,-74.17300725
A--11288,4.629803816,-74.17276265
A--11289,4.629899185,-74.1725625
A--11291,4.63000551,-74.17314073
A--11292,4.630117709,-74.17290716
A--11293,4.630214655,-74.17270845
A--11294,4.629396676,-74.17365238
A--113,4.699053618,-74.13024817
A--11304,4.623705283,-74.1835487
A--11307,4.640941116,-74.14039567
A--11308,4.638991624,-74.14138618
A--11309,4.63568595,-74.14373934
A--11310,4.635531783,-74.14377618
A--11311,4.637704116,-74.14517018
A--11312,4.639704283,-74.14613818
A--11313,4.642690616,-74.14493834
A--11314,4.645230783,-74.14400018
A--11316,4.643229783,-74.15677535
A--11317,4.646270783,-74.15528135
A--11318,4.649312617,-74.15714468
A--11319,4.651541117,-74.15911302
A--11320,4.649614783,-74.16076352
A--11321,4.64688195,-74.15871735
A--11322,4.648598783,-74.15540052
A--11323,4.647577783,-74.15361785
A--11324,4.649386283,-74.15210851
A--11325,4.651658617,-74.15111985
A--11326,4.650295117,-74.14969651
A--11327,4.648239783,-74.15403301
A--11336,4.632793549,-74.18493424
A--11337,4.545004384,-74.09602571
A--11338,4.554328303,-74.09226572
A--11339,4.551520696,-74.09209224
A--11340,4.549562052,-74.09262227
A--11341,4.546643028,-74.09484403
A--11342,4.545922227,-74.096659
A--11343,4.546984842,-74.09445221
A--11344,4.549271159,-74.09256067
A--11345,4.551051702,-74.09099164
A--11346,4.553977815,-74.09159857
A--11350,4.630452154,-74.15328346
A--11351,4.631181369,-74.15118597
A--11352,4.643772985,-74.14558275
A--11353,4.523386609,-74.08956292
A--11354,4.524731369,-74.09116087
A--11355,4.566820995,-74.10287149
A--11356,4.567410963,-74.10515837
A--1137,4.70135484,-74.1244119
A--114,4.699656951,-74.13076867
A--11502,4.624362514,-74.08393109
A--11503,4.625563117,-74.09157091
A--116,4.711515118,-74.13951801
A--11611,4.621098541,-74.18489297
A--11612,4.541617377,-74.08550928
A--11613,4.544662955,-74.08425511
A--11614,4.545423129,-74.08572306
A--11615,4.633455092,-74.20487389
A--11616,4.638387782,-74.20096681
A--11617,4.635896857,-74.20528473
A--11618,4.637068714,-74.20276329
A--11619,4.63611961,-74.19976662
A--11620,4.6379826,-74.18156371
A--11622,4.641133096,-74.18511782
A--11623,4.643041182,-74.18607693
A--11624,4.643060479,-74.18823648
A--11625,4.641084273,-74.18723499
A--11626,4.63651951,-74.18495264
A--11630,4.587254636,-74.07598754
A--11631,4.582724741,-74.07647291
A--11632,4.579757909,-74.07785369
A--11633,4.578040855,-74.07838001
A--11634,4.574681189,-74.07880994
A--11635,4.584661204,-74.07562936
A--11636,4.575140732,-74.07957321
A--11637,4.577674616,-74.07991573
A--11638,4.578910325,-74.07953597
A--11639,4.580814835,-74.08097912
A--11645,4.590177332,-74.07799017
A--11646,4.639899885,-74.18408346
A--11647,4.636515294,-74.18404013
A--11648,4.635802909,-74.18052271
A--11649,4.63820184,-74.1858267
A--11650,4.644211274,-74.14234516
A--11651,4.589703636,-74.07033447
A--11652,4.589395438,-74.06864141
A--11653,4.587410774,-74.06831198
A--11654,4.585222067,-74.0677262
A--11658,4.582063937,-74.07202663
A--11659,4.58354249,-74.07137124
A--11661,4.587275914,-74.07132291
A--11662,4.587369991,-74.07135158
A--11664,4.58365728,-74.07159525
A--11665,4.582092834,-74.07208993
A--11666,4.580194873,-74.07270187
A--11667,4.581862701,-74.07030047
A--11668,4.583242929,-74.06969397
A--11669,4.584067943,-74.06894723
A--11670,4.585068176,-74.06769721
A--11672,4.586804268,-74.06800779
A--11673,4.589443495,-74.06859394
A--11674,4.589829124,-74.07061477
A--11707,4.603182535,-74.06449653
A--11709,4.602830173,-74.14944617
A--11710,4.604580394,-74.1501191
A--11711,4.605545247,-74.14696137
A--11712,4.60591921,-74.14573553
A--11713,4.548395829,-74.10129914
A--11726,4.547014414,-74.10093159
A--11730,4.592200987,-74.07632166
A--11731,4.59395922,-74.0750698
A--11732,4.59179869,-74.07140685
A--11733,4.601498581,-74.06040123
A--11734,4.603070726,-74.06165275
A--11735,4.602888652,-74.06174492
A--11736,4.60002588,-74.06245787
A--11737,4.592419416,-74.07191661
A--11738,4.592688108,-74.0749687
A--11766,4.530442911,-74.09011753
A--11769,4.532708159,-74.08699617
A--11770,4.532120376,-74.0892309
A--11771,4.698043715,-74.14108832
A--11790,4.624764949,-74.17855536
A--11791,4.624468949,-74.18227786
A--11792,4.623349949,-74.1844462
A--11793,4.624752449,-74.18632586
A--11794,4.627053116,-74.1891072
A--11795,4.626241783,-74.1910667
A--11796,4.624144978,-74.19015283
A--11797,4.622579176,-74.18692178
A--11799,4.625075283,-74.18134686
A--118,4.714352452,-74.14112151
A--11800,4.625151283,-74.17973419
A--11803,4.555902954,-74.09536039
A--11804,4.556087012,-74.09538364
A--11805,4.703724785,-74.09546815
A--11806,4.703762451,-74.09272331
A--11807,4.707233785,-74.09212731
A--11808,4.709041785,-74.09328165
A--11809,4.711721285,-74.09622682
A--11811,4.717615618,-74.10259732
A--11812,4.714991332,-74.09963748
A--11814,4.711723451,-74.09637665
A--11815,4.708935951,-74.09334198
A--11816,4.706888618,-74.09252865
A--11817,4.705019618,-74.09245581
A--11818,4.709629271,-74.11030732
A--11819,4.709674933,-74.11005811
A--11820,4.705916309,-74.12153136
A--11821,4.705680066,-74.12054064
A--11823,4.706850534,-74.11513821
A--11824,4.704995031,-74.11670589
A--11825,4.706650919,-74.11714583
A--11826,4.70978222,-74.11557568
A--11827,4.70996727,-74.11001623
A--11828,4.709034567,-74.12093744
A--11830,4.710802695,-74.11935243
A--11831,4.712691485,-74.11763759
A--11832,4.713885973,-74.11778448
A--11833,4.713371581,-74.11848166
A--11834,4.711301384,-74.12001327
A--11841,4.715795897,-74.11891645
A--11842,4.709913774,-74.11030834
A--11843,4.71537876,-74.11632272
A--11844,4.716975469,-74.11774843
A--11845,4.719393479,-74.11928407
A--11846,4.72313782,-74.12209938
A--11847,4.705147158,-74.12517574
A--11848,4.698521885,-74.09442718
A--11849,4.709966871,-74.10994021
A--11851,4.7262943,-74.1252432
A--11852,4.697988318,-74.09467658
A--11853,4.69915677,-74.11437173
A--11855,4.783697923,-74.04145066
A--11856,4.783655189,-74.04078773
A--11857,4.806506302,-74.03769242
A--11858,4.806486815,-74.03691222
A--11859,4.801869332,-74.03763323
A--11860,4.801373162,-74.03849233
A--11861,4.791145159,-74.04015945
A--11862,4.79690434,-74.03929595
A--11863,4.777316621,-74.04184502
A--11864,4.776801772,-74.04256321
A--11865,4.772376944,-74.04336022
A--11866,4.771823448,-74.04266378
A--11867,4.769961959,-74.04374772
A--11868,4.769938573,-74.04300901
A--11869,4.765454435,-74.04669097
A--11874,4.762637943,-74.04948096
A--11875,4.76098459,-74.04725341
A--11876,4.752669273,-74.05028015
A--11877,4.752184639,-74.05015016
A--11878,4.753482128,-74.05427327
A--11879,4.75300869,-74.05396421
A--11880,4.753547353,-74.05701565
A--11882,4.75726436,-74.06192101
A--11887,4.534918084,-74.08389112
A--11888,4.755097952,-74.04602104
A--11889,4.754130122,-74.04621842
A--11890,4.754788446,-74.0459809
A--11891,4.754946006,-74.04595142
A--11892,4.723280196,-74.1226574
A--11893,4.719532206,-74.11976667
A--11894,4.716793159,-74.11780271
A--11895,4.715058898,-74.11658228
A--11896,4.753876885,-74.04626834
A--119,4.713027285,-74.13721451
A--11905,4.711246951,-74.1245315
A--11906,4.707949618,-74.12643917
A--11907,4.706385118,-74.12722033
A--11909,4.705510618,-74.12378916
A--11910,4.707460285,-74.12288683
A--11912,4.692778118,-74.09714282
A--11913,4.691649118,-74.10042448
A--11914,4.694109118,-74.10347349
A--11915,4.694914118,-74.10661365
A--11916,4.694316618,-74.10821899
A--11917,4.695888951,-74.11073482
A--11918,4.697336784,-74.11313383
A--11919,4.699859784,-74.11157982
A--11920,4.697907618,-74.10882799
A--11921,4.693998784,-74.10361782
A--11922,4.691489784,-74.10047932
A--11923,4.691634451,-74.09788015
A--11925,4.763034925,-74.02746097
A--11926,4.766305781,-74.04902143
A--11927,4.768162364,-74.05026788
A--11928,4.764819989,-74.04956855
A--11929,4.764702406,-74.02405145
A--11930,4.739563302,-74.0278376
A--11931,4.754196884,-74.04620426
A--11932,4.764053574,-74.03758077
A--11933,4.769368501,-74.04308813
A--11934,4.765870202,-74.03028362
A--11935,4.744001732,-74.03164789
A--11936,4.750036663,-74.04196971
A--11937,4.749280833,-74.03880691
A--11938,4.748147194,-74.03254409
A--11940,4.738857448,-74.02510775
A--11942,4.740510607,-74.03151632
A--11944,4.738707915,-74.02292065
A--11945,4.741685418,-74.02600167
A--11946,4.748543742,-74.03284292
A--11947,4.750032471,-74.04059612
A--11948,4.747764483,-74.03002786
A--11949,4.746954025,-74.02497826
A--11950,4.748108742,-74.0229052
A--11951,4.752724143,-74.02417632
A--11952,4.759566119,-74.0248891
A--11953,4.761387952,-74.02410727
A--11954,4.762125119,-74.0242596
A--11955,4.766108002,-74.02518556
A--11956,4.766702028,-74.02595159
A--11957,4.76547521,-74.02619621
A--11958,4.765860257,-74.02729917
A--11959,4.758674286,-74.02590494
A--11960,4.754483084,-74.02461498
A--11961,4.752683419,-74.02444378
A--11962,4.747820057,-74.02311173
A--11963,4.747233905,-74.02471383
A--11964,4.748162918,-74.03050292
A--11965,4.770437718,-74.03487396
A--11966,4.769671691,-74.03225455
A--11967,4.768982908,-74.02960664
A--11968,4.764992282,-74.0339533
A--11969,4.765223109,-74.03722645
A--11970,4.76322316,-74.0423613
A--11971,4.764563084,-74.0386451
A--11972,4.761110128,-74.03751897
A--11973,4.760038863,-74.03340242
A--11974,4.760005952,-74.03326994
A--11984,4.747188952,-74.03156927
A--11985,4.749212581,-74.03710149
A--11986,4.749656672,-74.03909653
A--11987,4.760273492,-74.0322304
A--11988,4.760786619,-74.03004994
A--11989,4.763018726,-74.02996925
A--11990,4.765672119,-74.02891386
A--11991,4.760299184,-74.02791052
A--11992,4.760288334,-74.03044647
A--11994,4.760409813,-74.03289827
A--11996,4.760299287,-74.03794804
A--11998,4.745464209,-74.02959011
A--11999,4.741121499,-74.02307053
A--120,4.696484284,-74.1260785
A--12005,4.587667965,-74.12626266
A--12010,4.716893484,-74.11081716
A--12011,4.709809264,-74.11063411
A--12012,4.576060782,-74.12000036
A--12013,4.590015282,-74.12486517
A--12014,4.587904615,-74.12623733
A--12015,4.585335782,-74.13485967
A--12016,4.587372448,-74.13706184
A--12017,4.589079115,-74.13995234
A--12018,4.589925948,-74.14212317
A--12019,4.579823115,-74.12425533
A--12020,4.578495615,-74.12869267
A--12021,4.576553615,-74.13496434
A--12022,4.579000615,-74.13438284
A--12023,4.577255281,-74.13306917
A--12024,4.576952781,-74.13003333
A--12025,4.578271115,-74.12860767
A--12026,4.579686615,-74.12407133
A--12027,4.580423282,-74.11839333
A--12028,4.583576615,-74.12000933
A--12029,4.584225782,-74.12352666
A--12030,4.583658282,-74.12664633
A--12031,4.585943448,-74.12659067
A--12032,4.586327948,-74.12475583
A--12033,4.584216782,-74.123261
A--12034,4.583280448,-74.12008066
A--12035,4.580239948,-74.11846949
A--12036,4.580388448,-74.15863618
A--12037,4.576035604,-74.12016857
A--12038,4.59325999,-74.12869321
A--12039,4.580881308,-74.1609936
A--12040,4.583735131,-74.16431277
A--12041,4.580466448,-74.16572669
A--12042,4.578478948,-74.16649485
A--12043,4.578445779,-74.16774008
A--12044,4.579225999,-74.17000679
A--12045,4.577173444,-74.16910776
A--12046,4.577339204,-74.16906157
A--12047,4.579072707,-74.16991873
A--12048,4.578155792,-74.16776127
A--12049,4.578289282,-74.16650185
A--12050,4.580571948,-74.16556902
A--12051,4.583683282,-74.16408885
A--12052,4.580791282,-74.16111635
A--12054,4.571726622,-74.13984284
A--12055,4.571998059,-74.1398966
A--12056,4.571853284,-74.13986071
A--12057,4.571518506,-74.139789
A--12058,4.571283253,-74.13973519
A--12059,4.571219911,-74.13971724
A--12060,4.571111341,-74.13969934
A--12061,4.571020862,-74.13968142
A--12063,4.571636144,-74.13982492
A--12070,4.597123615,-74.16976202
A--12072,4.596683449,-74.16924919
A--12073,4.589751782,-74.17121169
A--12074,4.596699615,-74.16966002
A--12075,4.596747115,-74.17009502
A--12076,4.597084949,-74.16928936
A--12077,4.597107782,-74.16952536
A--12078,4.597141615,-74.17011602
A--12079,4.599568949,-74.17773569
A--12080,4.606386449,-74.1829587
A--12081,4.614576783,-74.18677453
A--12082,4.610258772,-74.20259891
A--12083,4.610544994,-74.20251401
A--12084,4.566928413,-74.14310368
A--12085,4.568924792,-74.14614824
A--12086,4.570724346,-74.14879018
A--12087,4.57194223,-74.1505792
A--12088,4.574295924,-74.15362225
A--12089,4.576920547,-74.15538409
A--12090,4.576820566,-74.15567312
A--12091,4.574118941,-74.15385114
A--12092,4.57273629,-74.15227951
A--12093,4.57047272,-74.14892399
A--12094,4.568636608,-74.14624137
A--12095,4.566747559,-74.14342483
A--12096,4.562051369,-74.1391764
A--12097,4.561913164,-74.14006906
A--12098,4.562563026,-74.14404015
A--12099,4.561917111,-74.14618685
A--121,4.703286785,-74.13367034
A--12100,4.561123353,-74.1453188
A--12101,4.561713222,-74.14350169
A--12102,4.561781004,-74.1395227
A--12104,4.560735843,-74.14723848
A--12105,4.562357111,-74.14139541
A--12106,4.607058082,-74.19965042
A--12108,4.602891449,-74.17914186
A--12109,4.606865282,-74.18054586
A--12110,4.609787282,-74.18318453
A--12111,4.611093616,-74.18567286
A--12112,4.615158949,-74.18698236
A--12113,4.609935787,-74.18633424
A--12114,4.607627782,-74.18833487
A--12115,4.608554116,-74.1911627
A--12116,4.609764616,-74.19351237
A--12117,4.610801616,-74.1984472
A--12120,4.606529949,-74.1989382
A--12121,4.605722282,-74.19787354
A--12122,4.604410782,-74.19608437
A--12123,4.603072949,-74.19355103
A--12124,4.602103282,-74.19021753
A--12125,4.601220403,-74.1867241
A--12126,4.600480449,-74.18522836
A--12127,4.601891616,-74.18893637
A--12128,4.602775449,-74.1926482
A--12129,4.604704782,-74.19647204
A--12130,4.607115116,-74.1996362
A--12132,4.610725843,-74.19850027
A--12133,4.60977658,-74.19405517
A--12134,4.610007308,-74.19115934
A--12135,4.609856384,-74.18790323
A--12136,4.609841028,-74.18389721
A--12137,4.606894449,-74.18086803
A--12138,4.602521116,-74.17930203
A--12139,4.59969606,-74.1780795
A--12140,4.597918946,-74.17929886
A--12141,4.602534096,-74.18123308
A--12142,4.605963116,-74.18417886
A--12143,4.603464449,-74.1830157
A--12144,4.601207949,-74.1819677
A--12145,4.597825282,-74.18045236
A--12146,4.589153112,-74.16269074
A--12147,4.58841176,-74.16511557
A--12148,4.589355191,-74.16724761
A--12149,4.590197315,-74.17298432
A--12150,4.591939417,-74.1732136
A--12151,4.591924938,-74.17642442
A--12152,4.594336287,-74.17848567
A--12153,4.602781904,-74.16175127
A--12154,4.607408137,-74.16032897
A--12155,4.608066116,-74.15815985
A--12156,4.610372971,-74.16017321
A--12157,4.609164616,-74.16205669
A--12158,4.601793282,-74.16422619
A--12160,4.598013222,-74.17564629
A--12167,4.545191694,-74.15102486
A--12168,4.54672623,-74.15390353
A--12169,4.547812364,-74.15737639
A--12170,4.547252706,-74.16106401
A--12171,4.549968278,-74.1599609
A--12172,4.553325817,-74.15880317
A--12173,4.553601757,-74.15878295
A--12174,4.550483292,-74.15980949
A--12175,4.546857973,-74.1610741
A--12176,4.546565619,-74.15872091
A--12177,4.546971991,-74.1542175
A--12178,4.545100328,-74.15111485
A--12189,4.611647939,-74.16214571
A--12190,4.642495223,-74.14106613
A--12191,4.593215277,-74.12857622
A--12192,4.592964725,-74.1286001
A--12193,4.587249717,-74.13698489
A--12195,4.587904615,-74.12623733
A--12196,4.585335782,-74.13485967
A--12197,4.589079115,-74.13995234
A--12198,4.590583058,-74.14198824
A--122,4.705482618,-74.13196284
A--12233,4.576031713,-74.12028619
A--12234,4.567796569,-74.11444025
A--12235,4.568061223,-74.11967997
A--12236,4.567370552,-74.11637186
A--12237,4.569316277,-74.11451246
A--12238,4.570645899,-74.11349961
A--12239,4.571484284,-74.11544662
A--12240,4.573314401,-74.11710824
A--12243,4.573641172,-74.11728994
A--12247,4.568441117,-74.11696966
A--12248,4.569207164,-74.12068188
A--12249,4.587619446,-74.12631846
A--12250,4.580379393,-74.1183871
A--12251,4.583394466,-74.11989432
A--12252,4.584226771,-74.12342569
A--12253,4.583641143,-74.12659865
A--12254,4.585938262,-74.12662476
A--12255,4.586341921,-74.12481333
A--12256,4.584191669,-74.12333256
A--12257,4.583291437,-74.12016529
A--12285,4.580326548,-74.11854569
A--12286,4.565695027,-74.14648946
A--12287,4.56372442,-74.14647051
A--12288,4.562728975,-74.1497736
A--12289,4.562686474,-74.15213086
A--12290,4.56532256,-74.1553278
A--12291,4.568186488,-74.15726362
A--12292,4.569946463,-74.15850157
A--12293,4.568693446,-74.16031775
A--12294,4.568194163,-74.16359734
A--12295,4.567398575,-74.1669357
A--12296,4.565337556,-74.16904382
A--12297,4.564464046,-74.16726687
A--12298,4.564979729,-74.16462761
A--12299,4.568131033,-74.16338121
A--123,4.705707785,-74.13187684
A--12300,4.568606275,-74.16067855
A--12301,4.570192811,-74.158414
A--12302,4.568091952,-74.15743051
A--12304,4.562614161,-74.15217602
A--12306,4.563585367,-74.14668099
A--12307,4.564490737,-74.14369877
A--12308,4.674246512,-74.12431983
A--12309,4.68200268,-74.12129894
A--12316,4.558711155,-74.13913229
A--12317,4.554714646,-74.1377758
A--12318,4.546334808,-74.13945839
A--12319,4.543818278,-74.13793803
A--12320,4.540551326,-74.13818379
A--12321,4.538049254,-74.13973863
A--12323,4.535192513,-74.1411752
A--12324,4.53791359,-74.13975682
A--12325,4.541725886,-74.13783212
A--12326,4.544321321,-74.13762625
A--12327,4.54616632,-74.13934224
A--12328,4.552838797,-74.13666778
A--12329,4.544977337,-74.13622846
A--12330,4.555082311,-74.13741323
A--12335,4.579798032,-74.15723993
A--12341,4.570335784,-74.13952967
A--12342,4.719370952,-74.09414631
A--12343,4.723445452,-74.09725048
A--12344,4.724583785,-74.09599831
A--12345,4.726445285,-74.09669998
A--12346,4.728217785,-74.09530165
A--12347,4.729149452,-74.09214331
A--12348,4.728371452,-74.09038448
A--12349,4.727346118,-74.09008348
A--12351,4.716860618,-74.09340281
A--12352,4.716292785,-74.09257181
A--12354,4.720769618,-74.08998398
A--12358,4.731067705,-74.08802102
A--12359,4.730673773,-74.08978478
A--12360,4.725205539,-74.09090362
A--12361,4.723405285,-74.09186598
A--12362,4.720403236,-74.09432181
A--12363,4.716217452,-74.09276098
A--12364,4.702377198,-74.10082853
A--12366,4.717874587,-74.11245028
A--12367,4.74235466,-74.02923303
A--12368,4.709990888,-74.10984206
A--12369,4.709879657,-74.11051028
A--12370,4.724636878,-74.11391477
A--12371,4.709766343,-74.11073613
A--12372,4.715133962,-74.12522419
A--12373,4.708325458,-74.10470388
A--12374,4.710670555,-74.10299918
A--12375,4.712389721,-74.10348047
A--12376,4.714632807,-74.10575647
A--12377,4.714678941,-74.09958591
A--12379,4.712861986,-74.10142142
A--12380,4.711268935,-74.1037859
A--12381,4.710049332,-74.10564808
A--12382,4.730866457,-74.11667285
A--12383,4.709627339,-74.11091583
A--12384,4.570740358,-74.13960964
A--12395,4.719005172,-74.10869583
A--12396,4.715906659,-74.1092623
A--12397,4.71979279,-74.10960988
A--124,4.699551118,-74.12863017
A--12400,4.548219813,-74.0863636
A--12401,4.548286759,-74.08619378
A--12402,4.534437248,-74.09065912
A--12408,4.697558861,-74.11376727
A--12409,4.675764886,-74.12254023
A--12418,4.676032587,-74.14834221
A--12419,4.67505383,-74.14954386
A--12420,4.677493711,-74.15001917
A--12421,4.675669961,-74.15151126
A--12422,4.673512024,-74.15348569
A--12423,4.670181588,-74.15317158
A--12424,4.670728498,-74.15634725
A--12425,4.669357027,-74.15773253
A--12426,4.669889935,-74.15550178
A--12427,4.669196088,-74.15517095
A--12429,4.672124593,-74.15097446
A--12430,4.682227567,-74.12222762
A--12431,4.681638797,-74.12180863
A--12432,4.754576117,-74.06198181
A--12436,4.700019963,-74.1181726
A--12437,4.666302993,-74.15291155
A--12438,4.667256434,-74.15460989
A--12439,4.709917985,-74.13567841
A--12440,4.70660736,-74.13367182
A--12441,4.705264923,-74.13536618
A--12442,4.671325614,-74.1261288
A--12443,4.668390254,-74.12860822
A--12444,4.666891798,-74.12982567
A--12445,4.663846015,-74.13233145
A--12446,4.661658185,-74.13402267
A--12447,4.66104813,-74.13412036
A--12448,4.664345002,-74.13163437
A--12449,4.668300394,-74.12839034
A--12450,4.67645495,-74.1289646
A--12451,4.678376393,-74.13082875
A--12453,4.682147662,-74.13252055
A--12454,4.681909648,-74.12199737
A--12455,4.682026766,-74.12209407
A--12457,4.689547223,-74.1633016
A--12458,4.679387544,-74.14605218
A--12459,4.673660599,-74.14509418
A--12460,4.525224614,-74.12154183
A--12461,4.523357113,-74.12249733
A--12462,4.521741613,-74.12076966
A--12463,4.52356378,-74.12029633
A--12464,4.531640248,-74.11924293
A--12465,4.52585928,-74.11864816
A--12466,4.52371828,-74.11817933
A--12467,4.520166113,-74.11750616
A--12468,4.515894447,-74.11690549
A--12469,4.515449113,-74.11526816
A--12470,4.515883447,-74.11366149
A--12471,4.514772447,-74.11285666
A--12472,4.512520947,-74.11243982
A--12473,4.50954178,-74.11265582
A--12474,4.509324792,-74.11073511
A--12475,4.510084446,-74.10863016
A--12476,4.511849946,-74.10890399
A--12477,4.511923946,-74.11065616
A--12478,4.512102446,-74.11244966
A--12479,4.51516328,-74.11292699
A--12480,4.516449613,-74.11458333
A--12481,4.516860907,-74.11711552
A--12482,4.519585113,-74.11740483
A--12483,4.523660037,-74.11797957
A--12484,4.52579628,-74.11843999
A--12485,4.514002613,-74.11594066
A--12486,4.511651946,-74.11511649
A--12487,4.506528113,-74.11207699
A--12488,4.50653399,-74.10938887
A--12489,4.506511113,-74.10660065
A--12490,4.504896305,-74.10436861
A--12491,4.500925415,-74.10622643
A--12492,4.497424511,-74.10637069
A--12493,4.497034446,-74.10407349
A--12494,4.497836613,-74.10156615
A--12495,4.499715946,-74.10256015
A--12496,4.50006378,-74.10480215
A--12497,4.663500117,-74.13971484
